,time,temperatura,humidade,ponto de orvalho,direção do vento,velocidade do vento
0,2023-02-20T00:00,15.2,81,11.9,65,5.2
1,2023-02-20T01:00,14.8,83,12.0,59,4.2
2,2023-02-20T02:00,14.7,84,12.1,83,2.9
3,2023-02-20T03:00,14.2,88,12.3,90,2.5
4,2023-02-20T04:00,14.2,88,12.2,90,2.2
5,2023-02-20T05:00,14.4,88,12.4,135,2.0
6,2023-02-20T06:00,14.6,88,12.6,169,1.8
7,2023-02-20T07:00,15.1,87,13.0,180,2.2
8,2023-02-20T08:00,17.1,85,14.6,214,1.3
9,2023-02-20T09:00,19.6,83,16.6,156,3.5
10,2023-02-20T10:00,21.8,79,18.1,133,6.9
11,2023-02-20T11:00,23.4,67,17.1,104,13.0
12,2023-02-20T12:00,24.2,63,16.8,106,14.2
13,2023-02-20T13:00,24.9,60,16.6,100,14.3
14,2023-02-20T14:00,25.7,56,16.4,97,16.7
15,2023-02-20T15:00,26.4,52,15.7,99,15.3
16,2023-02-20T16:00,26.3,52,15.7,105,15.6
17,2023-02-20T17:00,25.0,57,16.0,106,16.5
18,2023-02-20T18:00,24.4,60,16.2,105,15.3
19,2023-02-20T19:00,22.8,68,16.5,95,12.6
20,2023-02-20T20:00,21.2,76,16.8,90,8.3
21,2023-02-20T21:00,20.3,84,17.5,90,5.4
22,2023-02-20T22:00,19.3,91,17.7,90,4.7
23,2023-02-20T23:00,18.7,93,17.6,90,4.3
24,2023-02-21T00:00,18.4,95,17.6,96,3.6
25,2023-02-21T01:00,18.3,96,17.7,103,3.3
26,2023-02-21T02:00,18.3,97,17.9,117,2.4
27,2023-02-21T03:00,18.4,98,18.1,153,2.4
28,2023-02-21T04:00,18.2,99,18.1,153,2.4
29,2023-02-21T05:00,18.2,99,18.0,143,1.8
30,2023-02-21T06:00,17.9,99,17.9,166,1.5
31,2023-02-21T07:00,18.2,99,18.1,166,1.5
32,2023-02-21T08:00,19.8,95,19.0,164,2.6
33,2023-02-21T09:00,21.8,83,18.8,117,5.6
34,2023-02-21T10:00,22.4,80,18.9,120,7.1
35,2023-02-21T11:00,23.2,78,19.2,119,8.2
36,2023-02-21T12:00,24.2,74,19.3,117,8.9
37,2023-02-21T13:00,25.2,68,18.8,114,10.6
38,2023-02-21T14:00,24.7,71,19.2,122,12.3
39,2023-02-21T15:00,26.1,63,18.4,117,12.6
40,2023-02-21T16:00,26.0,60,17.6,111,13.1
41,2023-02-21T17:00,25.6,60,17.4,106,13.5
42,2023-02-21T18:00,24.7,63,17.3,101,13.2
43,2023-02-21T19:00,23.5,68,17.2,103,10.0
44,2023-02-21T20:00,21.8,75,17.2,112,7.8
45,2023-02-21T21:00,21.0,81,17.7,93,7.2
46,2023-02-21T22:00,20.5,85,17.8,82,8.0
47,2023-02-21T23:00,20.0,88,17.9,74,7.9
48,2023-02-22T00:00,19.3,91,17.9,68,6.6
49,2023-02-22T01:00,18.9,93,17.7,65,6.0
50,2023-02-22T02:00,18.5,94,17.5,63,4.8
51,2023-02-22T03:00,17.6,95,16.9,56,3.9
52,2023-02-22T04:00,17.3,96,16.6,53,3.6
53,2023-02-22T05:00,16.8,96,16.2,50,2.8
54,2023-02-22T06:00,16.4,97,15.9,50,2.8
55,2023-02-22T07:00,16.6,97,16.1,54,3.1
56,2023-02-22T08:00,20.0,89,18.1,53,3.6
57,2023-02-22T09:00,22.4,78,18.4,61,10.3
58,2023-02-22T10:00,24.3,67,17.9,56,13.0
59,2023-02-22T11:00,26.1,60,17.6,63,12.9
60,2023-02-22T12:00,27.7,52,17.0,69,13.1
61,2023-02-22T13:00,29.1,45,16.0,76,13.0
62,2023-02-22T14:00,29.6,41,15.1,81,13.5
